fecha,aplicadas,recibidas
44197,346,0
44198,4571,50700
44199,8811,50700
44200,13653,50700
44201,18182,104325
44202,23773,104325
44203,30502,104325
44204,37862,104325
44205,44895,104325
44206,51609,104325
44207,59028,104325
44208,69579,544050
44209,220067,544050
44210,350614,544050
44211,436283,544050
44212,449515,544050
44213,453869,544050
44214,458672,544050
44215,463749,763425
44216,473904,763425
44217,542895,763425
44218,580890,763425
44219,596969,763425
44220,608456,763425
44221,614105,763425
44222,622174,763425
44223,626540,763425
44224,631154,763425
44225,635647,763425
44226,645525,763425
44227,648389,763425
44228,650521,763425
44229,653376,763425
44230,666799,763425
44231,672682,763425
44232,677309,763425
44233,686872,763425
44234,689833,763425
44235,697155,763425
44236,701125,763425
44237,701756,763425
44238,702198,763425
44239,702783,763425
44240,703237,763425
44241,703391,1633425
44242,793031,1633425
44243,930750,2124825
44244,1092864,2124825
44245,1418889,2124825
44246,1606304,2124825
44247,1664917,2324825
44248,1683506,2324825
44249,1736281,2324825
44250,1794852,3036700
44251,1909283,3036700
44252,2122291,3036700
44253,2296919,3036700
44254,2397839,3836700
44255,2466990,3836700
44256,2525114,3836700
44257,2585429,4688850
44258,2633927,4688850
44259,2667551,4688850
44260,2703006,4688850
44261,2736056,4688850
44262,2770275,4688850
44263,2871165,4688850
44264,3184850,5289450
44265,3546610,5489450
44266,3824788,5489450
44267,4067558,5489450
44268,4235217,6489450
44269,4323477,6489450
44270,4404471,6489450
44271,4558667,7157325
44272,4787106,7157325
44273,5010586,8157325
44274,5262733,8157325
44275,5504212,8157325
44276,5665962,8157325
44277,5821773,9113045
44278,6018582,9600515
44279,6155094,9771170
44280,6321164,10771170
44281,6567986,10771170
44282,6747801,10836170
44283,6937473,12346770
44284,7182127,12346770
44285,7537886,12834270
44286,8017874,13479545
44287,8392354,14688245
44288,8754675,14688245
44289,8983399,14688245
44290,9104991,14688245
44291,9410688,15175745
44292,9828921,15175745
44293,10368707,15608005
44294,10811615,16095505
44295,11095386,16423105
44296,11291837,16423105
44297,11449493,16423105
44298,11879281,16910605
44299,12436026,16910605
44300,12942514,16910605
44301,13454810,18564525
44302,14036258,18893100
44303,14255473,18893100
44304,14387635,18893100
44305,14595418,18893100
44306,15041944,18893100
44307,15524685,19580600
44308,15922216,21030200
44309,16244955,21609590
44310,16442778,22109590
44311,16537754,22109590
44312,16709447,22109590
44313,17009937,22109590
44314,17381715,22597090
44315,17746613,23982090
44316,18114319,25423060
44317,18336659,25423060
44318,18477660,25423060
44319,18838316,25423060
44320,19359089,25423060
44321,19965191,25621900
44322,20556173,26621900
44323,21016112,27092390
44324,21197920,27092390
44325,21267283,27092390
44326,21292134,27092390
44327,21550486,27885610
44328,21966710,28135990
44329,22443294,28924280
44330,22884517,29126980
44331,23185208,29161980
44332,23317019,29161980
44333,23659817,29787330
44334,24235843,29787330
44335,24963959,30372330
44336,25602881,33466790
44337,26119444,33466790
